COLUMN_1,COLUMN_2
01306 01,0130006-1
01306 02,0130006-2
01306 03,0130006-3
01306 04,0130006-4
01307 01,0130007-1
01307 02,0130007-2
01307 03,0130007-3
01307 04,0130007-4
01307 05,0130007-5
01501 01,0150001-1
01501 02,0150001-2
01501 03,0150001-3
01501 03A,015001-3A
01501 03B,015001-3B
01501 04,0150001-4
01501 05,0150001-5
01502 01,0150002-1
01502 02,0150002-2
01502 03,0150002-3
01502 03A,015002-3A
01502 04 -1,0150002-4
01502 04 -2,0150002-4
01502 05A,015002-5A
01502 06,0150002-6
01502 07,0150002-7
01502 08,0150002-8
01502 09,0150002-9
01502 10,015002-10
01502 11,015002-11
01502 11A,01502-11A
01502 12A,01502-12A
01502 12B,01502-12B
01502 12C,01502-12C
01502 13,015002-13
01502 14,015002-14
01502 15,015002-15
01502 16,015002-16
01502 16A,01502-16A
01502 17A,01502-17A
01502 17B,01502-17B
01502 18B,01502-18B
01502 18C,01502-18C
01502 18D,01502-18D
01502 18E -1,01502-18E
01502 18E -2,01502-18E
01502 18F,01502-18F
01502 19,015002-19
01502 20,015002-20
01502 21A,01502-21A
01502 21B,01502-21B
01502 21C -1,01502-21C
01502 21C -2,01502-21C
01502 21D -1,01502-21D
01502 21D -2,01502-21D
01502 22A -1,01502-22A
01502 22A -2,01502-22A
01502 22B,01502-22B
01502 22C,01502-22C
01502 23,015002-23
01503 01,0150003-1
01503 02,0150003-2
01503 03,0150003-3
01503 04,0150003-4
01504 01A,015004-1A
01504 02,0150004-2
01504 03A,015004-3A
01504 03B,015004-3B
01504 03C,015004-3C
01504 03D,015004-3D
01504 04A -1,015004-4A
01504 04A -2,015004-4A
01504 04B -1,015004-4B
01504 04B -2,015004-4B
01504 05A,015004-5A
01504 06 -1,0150004-6
01504 06 -2,0150004-6
01504 07 -1,0150004-7
01504 07 -2,0150004-7
01504 08A,015004-8A
01504 08B -1,015004-8B
01504 08B -2,015004-8B
01504 08C,015004-8C
01504 08D,015004-8D
01504 08E,015004-8E
01504 08F,015004-8F
01504 09,0150004-9
01504 10 -1,015004-10
01504 10 -2,015004-10
01504 11A,01504-11A
01504 11B,01504-11B
01504 11C,01504-11C
01700 001,017000001
01700 002,017000002
01700 003,017000003
01700 004,017000004
01700 005 A,017000005
01700 005 B,017000005
01700 006,017000006
01700 007,017000007
01700 008,017000008
01700 009,017000009
01700 010,017000010
01700 011,017000011
01700 012,017000012
01700 013,017000013
01700 014,017000014
01700 015,017000015
01700 016,017000016
01700 017,017000017
01700 020,017000020
01700 021,017000021
